131,193.36,10.2,3.8,29,0
132,583,26.2,47.1,22.2,17.2
133,205.51,34.34,3.45,9.69,0.3
134,153,28.7,2.4,4.2,0.2
135,108,6,0.6,7.5,0
136,137.12,21.46,4.05,3.36,0.63
137,118.89,16.95,3.13,6.09,0.39
138,124.41,17.09,4.43,5.03,0.98
139,123.91,3.29,9.51,7.52,0.26
140,97.21,6.6,3.22,10,0.78
141,227.58,30.38,7.45,10.71,0.93
142,97.61,14.61,3.87,1.81,0.66
143,195.08,43.73,0.54,5.57,1.41
144,311,46.2,13.8,4.4,2
145,110,21,2.2,1.3,0
146,156.58,1.71,12.12,10.24,0.38
147,109.59,5.82,4.64,11,0.4
148,146.39,15.45,5.99,7.28,0.33
149,259.48,42.38,7.71,6.55,1.35
150,50.77,5.73,2.1,1.52,1.3
151,153.77,15.48,7.8,5,1.04
152,87,2,5,18,0.1
153,66.97,14.57,0.64,1.62,0.86
154,36.17,3.3,1.27,4.36,1.18
155,130,18,4.8,3.9,1.5
156,172.82,18.52,8.65,5.28,1.18
157,143.35,16.3,6.64,5.55,0.98
158,236.41,14.89,11.46,17.24,0.67
159,187.96,11.45,8.1,17.46,0.13
160,117,3.5,6.3,11.8,0.26
161,152.28,5.03,7.95,15.92,1.06
162,333.6,4.19,30.26,11.92,0.72
163,158.28,7.41,12.23,5.77,1.17
164,37,0.15,0.75,7.3,0.01
165,370.13,7.05,32.82,11.88,0.15
166,53.74,8.52,1.06,2.6,0.09
167,214,45.6,1,6.4,1.5
168,91.18,18.72,1.57,3.08,2.32
169,351,75.8,0.1,11.9,0.4
170,38.79,3.59,2.13,1.32,1.7
171,198.36,4.28,18.88,2.71,0.29
172,116,25.9,0.3,2.6,0.3
